
Last update 5 Dec 2020

a52dec 0.7.4-11
aalib 1.4rc5-14
accounts-qml-module 0.7-3
accountsservice 0.6.55-3
acl 2.2.53-3
acpi 1.7-3
acpid 2.0.32-2
adobe-source-code-pro-fonts 2.032ro+1.052it+1.012var-1
adwaita-icon-theme 3.38.0-1
alsa-card-profiles 14.0-1
alsa-firmware 1.2.4-2
alsa-lib 1.2.4-3
alsa-oss 1.1.8-3
alsa-plugins 1:1.2.2-2
alsa-topology-conf 1.2.4-2
alsa-ucm-conf 1.2.4-2
alsa-utils 1.2.4-2
amtk 5.2.0-2
android-tools 30.0.5-1
android-udev 20201003-1
aom 2.0.0-1
apache 2.4.46-3
apparmor 3.0.0-2
appstream 0.13.1-1
appstream-glib 0.7.18-1
appstream-qt 0.13.1-1
apr 1.7.0-3
apr-util 1.6.1-8
arandr 0.1.10-4
archlinux-appstream-data 20201128-1
archlinux-keyring 20201028-1
argon2 20190702-3
aria2 1.35.0-2
aribb24 1.0.3-3
asciidoc 9.0.4-1
at-spi2-atk 2.38.0-1
at-spi2-core 2.38.0-1
atk 2.36.0-1
atkmm 2.28.0-2
atomicparsley 20200701.154658.b0d6223-1
attica 5.76.0-1
attr 2.4.48-3
audacious 4.0.5-1
audacious-plugins 4.0.5-1
audacity 1:2.4.1-4
audit 2.8.5-6
autoconf 2.69-7
autoconf-archive 1:2019.01.06-2
automake 1.16.2-3
avahi 0.8+15+ge8a3dd0-1
awesome 4.3-2
b43-fwcutter 019-3
babl 0.1.82-1
baloo 5.76.0-1
bash 5.0.018-1
bash-completion 2.11-1
bashrc-manjaro 5.0.018-1
bauh 0.9.8-1
bc 1.07.1-4
binutils 2.35.1-1
bison 3.7.2-1
blas 3.9.0-3
blueman 2.1.3-1
bluez 5.55-1
bluez-libs 5.55-1
bmenu 0.14-1
boost-libs 1.72.0-2
botan 2.17.2-1
brasero 3.12.2+106+g46b9d116-1
brave 1.16.67-1
breeze 5.20.4-1
breeze-icons 5.76.0-1
brotli 1.0.9-2
btrfs-progs 5.9-1
bubblewrap 0.4.1-1
bzip2 1.0.8-4
c-ares 1.17.1-1
ca-certificates 20181109-4
ca-certificates-mozilla 3.59-1
ca-certificates-utils 20181109-4
cairo 1.17.2+25+gaee96d175-1
cairomm 1.12.2-4
cantarell-fonts 1:0.201-1
catfish 1.4.13-3
cblas 3.9.0-3
ccache 3.7.11-1
cdparanoia 10.2-8
cdrdao 1.2.4-2
cdrtools 3.02a09-4
ceph-libs 15.2.6-1
check 0.15.2-2
chromaprint 1.5.0-3
cifs-utils 6.11-1
ckbcomp 1.194-1
clang 11.0.0-1
clucene 2.3.3.4-11
cmake 3.19.1-1
cmus 2.8.0-5
colord 1.4.5-1
colord-sane 1.4.5-1
compiler-rt 11.0.0-1
compiz-easy-patch 0.9.14.1-2
composer 2.0.7-1
confuse 3.3-2
convertlit 1.8-10
coreutils 8.32-1
cpupower 5.9-1
crda 4.14-3
cronie 1.5.5-1
cryptsetup 2.3.4-1
cups 1:2.3.3op1-1
cups-filters 1.28.5-3
cups-pdf 3.0.1-5
cups-pk-helper 0.2.6-4
curl 7.73.0-1
dav1d 0.7.1-1
db 5.3.28-5
dbeaver 7.2.5-1
dbus-glib 0.110-2
dbus-sharp 0.8.1-3
dbus-sharp-glib 0.6.0-3
dbus-x11 1.12.20-1
dconf 0.38.0-1
dee 1.2.7-8
desktop-file-utils 0.26-1
device-mapper 2.02.187-3
dex 0.9.0-1
dhclient 4.4.2-2
dhcpcd 9.3.3-1
diffutils 3.7-3
ding-libs 0.6.1-3
dmenu 5.0-1
dmidecode 3.3-1
dmraid 1.0.0.rc16.3-12
dnsmasq 2.82-2
dnssec-anchors 20190629-3
docbook-xml 4.5-9
docbook-xsl 1.79.2-7
dosfstools 4.1-3
double-conversion 3.1.5-2
dvd+rw-tools 7.1-9
dvdauthor 0.7.2-9
dvgrab 3.5-9
e2fsprogs 1.45.6-3
ebook-tools 0.2.2-7
ecryptfs-utils 111-4
editorconfig-core-c 0.12.4-1
efibootmgr 17-2
efivar 37-4
elfutils 0.181-1
enchant 2.2.12-1
engrampa 1.24.1-1
exfat-utils 1.3.0-2
exiv2 0.27.3-1
exo 0.12.11-5
expac 10-2
expat 2.2.10-2
f2fs-tools 1.14.0-1
faac 1.30-2
faad2 2.10.0-1
fakeroot 1.25.3-1
farstream 0.2.9-2
feh 3.6-1
ffmpeg 2:4.3.1-2
ffmpegthumbnailer 2.2.2-2
fftw 3.3.8-3
file 5.39-1
filesystem 2020.09-2
findutils 4.7.0-2
firefox 83.0-2
flac 1.3.3-2
flameshot 0.8.5-1
flatpak 1.9.2-1
flex 2.6.4-3
fluidsynth 2.1.5-2
fontconfig 2:2.13.91+48+gfcb0420-2
foomatic-db 3:20200822-1
foomatic-db-engine 4:20200206-1
foomatic-db-gutenprint-ppds 5.3.3-2
frameworkintegration 5.76.0-1
freeglut 3.2.1-2
freetype2 2.10.4-1
frei0r-plugins 1.7.0-1
fribidi 1.0.10-1
fuse-common 3.10.0-1
fuse2 2.9.9-4
fuse3 3.10.0-1
fzf 0.24.3-1
galculator-gtk2 2.1.4-5
game-devices-udev 0.10-1
garcon 0.6.4-2
gavl 1.4.0-4
gawk 5.1.0-1
gc 8.0.4-4
gcab 1.4-1
gcc 10.2.0-3
gcc-libs 10.2.0-3
gcolor2 0.4-9
gconf 3.2.6+11+g07808097-7
gcr 3.38-1
gd 2.3.0-1
gdbm 1.18.1-3
gdk-pixbuf2 2.42.0-2
gedit 3.38.0-1
gedit-plugins 3.38.0-1
gegl 0.4.26-1
geoclue 2.5.6-1
geocode-glib 3.26.2-1
gettext 0.21-1
ghostscript 9.53.3-2
giflib 5.2.1-2
gimp 2.10.22-1
git 2.29.2-1
glew 2.2.0-2
glib-networking 2.66.0-1
glib2 2.66.2-1
glib2-docs 2.66.2-1
glibc 2.32-5
glibmm 2.64.4-1
