a52dec 0.7.4-11
aalib 1.4rc5-14
accounts-qml-module 0.7-3
accountsservice 0.6.55-3
acl 2.2.53-3
acpi 1.7-3
acpid 2.0.32-2
adobe-source-code-pro-fonts 2.038ro+1.058it+1.018var-1
adwaita-icon-theme 3.38.0-1
alsa-card-profiles 1:0.3.21-1
alsa-firmware 1.2.4-2
alsa-lib 1.2.4-3
alsa-oss 1.1.8-3
alsa-plugins 1:1.2.2-2
alsa-topology-conf 1.2.4-2
alsa-ucm-conf 1.2.4-2
alsa-utils 1.2.4-2
amd-ucode 20210119.r1813.0578970-1
android-tools 30.0.5-1
android-udev 20201003-1
aom 2.0.1-1
apache 2.4.46-3
apm 2.6.1-1
apparmor 3.0.1-1
appimagelauncher 2.2.0-4
appstream 0.14.0-4
appstream-glib 0.7.18-2
appstream-qt 0.14.0-4
apr 1.7.0-3
apr-util 1.6.1-8
archlinux-appstream-data 20210125-1
archlinux-keyring 20210110-1
argon2 20190702-3
ark 20.12.2-1
asciidoc 9.0.5-1
at-spi2-atk 2.38.0-1
at-spi2-core 2.38.0-1
atk 2.36.0-1
atkmm 2.28.1-1
atom 1.54.0-1
attica 5.78.0-1
attr 2.4.48-3
audacity 1:2.4.1-4
audiofile 0.3.6-6
audit 3.0-1
autoconf 2.71-1
automake 1.16.3-1
avahi 0.8+15+ge8a3dd0-3
b43-fwcutter 019-3
baloo 5.78.0-1
baloo-widgets 20.12.2-1
bash 5.1.0-2
bash-completion 2.11-1
bashrc-manjaro 5.1.0-2
bashtop 0.9.25-1
bc 1.07.1-4
binutils 2.36-3
bison 3.7.3-1
bluedevil 1:5.20.5-1
blueman 2.1.4-1
bluez 5.55-1
bluez-libs 5.55-1
bluez-qt 5.78.0-1
bmenu 0.14-1
boost-libs 1.75.0-2
botan 2.17.3-1
brave 1.19.92-1
breath2-icon-themes 1.0.10-3
breath2-wallpaper 1.0.10-2
breeze 5.20.5-1
breeze-icons 5.78.0-1
brotli 1.0.9-4
btrfs-progs 5.10-1
bubblewrap 0.4.1-1
bzip2 1.0.8-4
c-ares 1.17.1-1
ca-certificates 20181109-4
ca-certificates-mozilla 3.61-1
ca-certificates-utils 20181109-4
cairo 1.17.4-3
cairomm 1.12.2-4
cantarell-fonts 1:0.301-1
cantata 2.4.2-1
cdparanoia 10.2-8
cdrdao 1.2.4-2
cdrtools 3.02a09-4
ceph-libs 15.2.8-2
cfitsio 1:3.49-1
chromaprint 1.5.0-3
chromium 88.0.4324.150-1
cifs-utils 6.11-3
ckbcomp 1.194-1
clipit 1:1.4.3-2
clucene 2.3.3.4-11
clutter 1.26.4-1
clutter-gtk 1.8.4-2
cmake 3.19.4-1
cmatrix 2.0-2
cmus 2.8.0-5
code 1.52.1-1
cogl 1.22.8-1
colord 1.4.5-1
colord-sane 1.4.5-1
composer 2.0.9-1
confuse 3.3-3
conky 1.11.6-1
conky-i3 20180507-1
convertlit 1.8-10
coreutils 8.32-1
cpupower 5.10-2
crda 4.14-3
cronie 1.5.5-2
cryptsetup 2.3.4-1
cups 1:2.3.3op2-1
cups-filters 1.28.7-1
cups-pdf 3.0.1-5
cups-pk-helper 0.2.6-4
curl 7.75.0-1
dav1d 0.8.1-1
db 5.3.28-5
dbeaver 7.3.3-1
dbeaver-plugin-apache-poi 4.1.1-2
dbeaver-plugin-batik 1.9.1-6
dbeaver-plugin-office 1.1.85.202012201616-1
dbeaver-plugin-svg-format 1.0.83.202012201616-1
dbus 1.12.20-1
dbus-glib 0.110-2
dconf 0.38.0-1
desktop-file-utils 0.26-1
device-mapper 2.02.187-3
dhclient 4.4.2-2
dhcpcd 9.4.0-1
diffutils 3.7-3
ding-libs 0.6.1-3
discount 2.2.7-1
djvulibre 3.5.28-2
dkms 2.8.4-1
dmenu 5.0-1
dmidecode 3.3-1
dmraid 1.0.0.rc16.3-12
dnsmasq 2.84-1
dnssec-anchors 20190629-3
docbook-xml 4.5-9
docbook-xsl 1.79.2-7
dolphin 20.12.2-1
dolphin-plugins 20.12.2-1
dosfstools 4.1-3
double-conversion 3.1.5-2
dvd+rw-tools 7.1-9
e2fsprogs 1.46.0-1
ebook-tools 0.2.2-7
ecryptfs-utils 111-4
editorconfig-core-c 0.12.4-1
efibootmgr 17-2
efivar 37-4
electron6 6.1.12-5
electron9 9.4.2-3
elfutils 0.182-1
emovix 0.9.0-8
enchant 2.2.13-2
exempi 2.5.2-1
exfat-utils 1.3.0-2
exiv2 0.27.3-1
expac 10-2
expat 2.2.10-2
f2fs-tools 1.14.0-1
faac 1.30-2
faad2 2.10.0-1
fakeroot 1.25.3-1
feh 3.6.3-1
ffmpeg 2:4.3.1-4
ffmpegthumbs 20.12.2-1
fftw 3.3.9-1
file 5.39-1
filelight 20.12.2-1
filesystem 2021.01.19-1
findutils 4.8.0-1
firefox 85.0.1-1
flac 1.3.3-2
flameshot 0.8.5-1
flashrom 1.2-2
flatpak 1.10.1-1
flex 2.6.4-3
fluidsynth 2.1.7-1
fmt 7.1.3-1
fontconfig 2:2.13.91+48+gfcb0420-2
foomatic-db 3:20210205-1
foomatic-db-engine 4:20200206-1
foomatic-db-gutenprint-ppds 5.3.4-1
frameworkintegration 5.78.0-1
freeglut 3.2.1-2
freetype2 2.10.4-1
fribidi 1.0.10-1
fuse-common 3.10.1-1
fuse2 2.9.9-4
fuse3 3.10.1-1
fwupd 1.5.5-1
fzf 0.25.1-1
game-devices-udev 0.12-1
gawk 5.1.0-1
gc 8.0.4-4
gcab 1.4-1
gcc 10.2.0-6
gcc-libs 10.2.0-6
gcr 3.38.1-1
gd 2.3.1-1
gdbm 1.19-1
gdk-pixbuf2 2.42.2-1
geoclue 2.5.7-2
geocode-glib 3.26.2-1
gettext 0.21-1
ghostscript 9.53.3-2
giflib 5.2.1-2
git 2.30.0-1
glew 2.2.0-2
glib-networking 2.66.0-1
glib2 2.66.6-1
glib2-docs 2.66.6-1
